pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-01,868.5629045141701
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-02,868.5629045141701
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-03,868.2881344656847
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-04,868.2881344656847
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-05,867.5531220112664
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-06,867.5531220112664
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-07,867.5531220112664
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-08,868.2881344656847
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-09,868.2881344656847
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-10,866.0051893921149
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-11,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-12,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-13,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-14,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-15,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-16,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-17,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-18,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-19,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-20,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-21,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-22,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-23,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-24,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-25,869.1578354795694
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-26,868.422823025151
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-27,875.2780498925662
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-28,879.8799504111768
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-29,880.6149628655951
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-30,880.6149628655951
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-31,880.6149628655951
